,TV,radio,newspaper,sales
1,76.3,27.5,16,12
2,222.4,3.4,13.1,11.5
3,67.8,36.6,114,12.5
4,266.9,43.8,5,25.4
5,120.5,28.5,14.2,14.2
6,112.9,17.4,38.6,11.9
7,289.7,42.3,51.2,25.4
8,170.2,7.8,35.2,11.7
9,131.1,42.8,28.9,18
10,140.3,1.9,9,10.3
11,164.5,20.9,47.4,14.5
12,88.3,25.5,73.4,12.9
13,243.2,49,44.3,25.4
14,228.3,16.9,26.2,15.5
15,38,40.3,11.9,10.9
16,109.8,47.8,51.4,16.7
17,59.6,12,43.1,9.7
18,280.2,10.1,21.4,14.8
19,8.4,27.2,2.1,5.7
20,117.2,14.7,5.4,11.9
21,230.1,37.8,69.2,22.1
22,141.3,26.8,46.2,15.5
23,50,11.6,18.4,8.4
24,193.2,18.4,65.7,15.2
25,241.7,38,23.2,21.8
26,197.6,3.5,5.9,11.7
27,44.7,25.8,20.6,10.1
28,220.5,33.2,37.9,20.1
29,13.2,15.9,49.6,5.6
30,281.4,39.6,55.8,24.4
31,68.4,44.5,35.6,13.6
32,276.9,48.9,41.8,27
33,261.3,42.7,54.7,24.2
34,238.2,34.3,5.3,20.7
35,53.5,2,21.4,8.1
36,76.4,0.8,14.8,9.4
37,286,13.9,3.7,15.9
38,8.6,2.1,1,4.8
39,220.3,49,3.2,24.7
40,156.6,2.6,8.3,10.5
41,224,2.4,15.6,11.6
42,253.8,21.3,30,17.6
43,262.7,28.8,15.9,20.2
44,75.5,10.8,6,9.9
45,290.7,4.1,8.5,12.8
46,147.3,23.9,19.1,14.6
47,69,9.3,0.9,9.3
48,87.2,11.8,25.9,10.6
49,75.1,35,52.7,12.6
50,95.7,1.4,7.4,9.5
51,197.6,23.3,14.2,16.6
52,239.9,41.5,18.5,23.2
53,202.5,22.3,31.6,16.6
54,19.4,16,22.3,6.6
55,239.8,4.1,36.9,12.3
56,229.5,32.3,74.2,19.7
57,142.9,29.3,12.6,15
58,100.4,9.6,3.6,10.7
59,188.4,18.1,25.6,14.9
60,228,37.7,32,21.5
61,184.9,43.9,1.7,20.7
62,66.1,5.8,24.2,8.6
63,284.3,10.6,6.4,15
64,206.8,5.2,19.4,12.2
65,206.9,8.4,26.4,12.9
66,17.2,4.1,31.6,5.9
67,135.2,41.7,45.9,17.2
68,283.6,42,66.2,25.5
69,137.9,46.4,59,19.2
