,TV,radio,newspaper,sales
1,19.4,16,22.3,6.6
2,149.8,1.3,24.3,10.1
3,237.4,5.1,23.5,12.5
4,120.2,19.6,11.6,13.2
5,225.8,8.2,56.5,13.4
6,287.6,43,71.8,26.2
7,48.3,47,8.5,11.6
8,137.9,46.4,59,19.2
9,28.6,1.5,33,7.3
10,228,37.7,32,21.5
11,195.4,47.7,52.9,22.4
12,8.4,27.2,2.1,5.7
13,17.9,37.6,21.6,8
14,13.1,0.4,25.6,5.3
15,266.9,43.8,5,25.4
16,175.7,15.4,2.4,14.1
17,218.5,5.4,27.4,12.2
18,62.3,12.6,18.3,9.7
19,93.9,43.5,50.5,15.3
20,213.5,43,33.8,21.7
21,239.8,4.1,36.9,12.3
22,56.2,5.7,29.7,8.7
23,240.1,16.7,22.9,15.9
24,220.5,33.2,37.9,20.1
25,90.4,0.3,23.2,8.7
26,248.8,27.1,22.9,18.9
27,290.7,4.1,8.5,12.8
28,280.7,13.9,37,16.1
29,75.1,35,52.7,12.6
30,104.6,5.7,34.4,10.4
31,197.6,23.3,14.2,16.6
32,57.5,32.8,23.5,11.8
33,239.9,41.5,18.5,23.2
34,8.6,2.1,1,4.8
35,165.6,10,17.6,12.6
36,229.5,32.3,74.2,19.7
37,180.8,10.8,58.4,12.9
38,156.6,2.6,8.3,10.5
39,97.5,7.6,7.2,9.7
40,50,11.6,18.4,8.4
41,184.9,43.9,1.7,20.7
42,116,7.7,23.1,11
43,107.4,14,10.9,11.5
44,0.7,39.6,8.7,1.6
45,8.7,48.9,75,7.2
46,151.5,41.3,58.5,18.5
47,123.1,34.6,12.4,15.2
48,96.2,14.8,38.9,11.4
49,202.5,22.3,31.6,16.6
50,276.7,2.3,23.7,11.8
51,73.4,17,12.9,10.9
52,199.1,30.6,38.7,18.3
53,210.7,29.5,9.3,18.4
54,280.2,10.1,21.4,14.8
55,204.1,32.9,46,19
56,199.8,2.6,21.2,10.6
57,217.7,33.5,59,19.4
58,136.2,19.2,16.6,13.2
59,102.7,29.6,8.4,14
60,85.7,35.8,49.3,13.3
61,197.6,3.5,5.9,11.7
62,125.7,36.9,79.2,15.9
63,80.2,0,9.2,8.8
64,222.4,3.4,13.1,11.5
65,209.6,20.6,10.7,15.9
66,135.2,41.7,45.9,17.2
67,191.1,28.7,18.2,17.3
68,97.2,1.5,30,9.6
69,117.2,14.7,5.4,11.9
70,23.8,35.1,65.9,9.2
71,210.8,49.6,37.7,23.8
72,44.7,25.8,20.6,10.1
73,109.8,14.3,31.7,12.4
74,69,9.3,0.9,9.3
75,25,11,29.7,7.2
76,38.2,3.7,13.8,7.6
77,218.4,27.7,53.4,18
78,75.5,10.8,6,9.9
79,262.7,28.8,15.9,20.2
80,129.4,5.7,31.3,11
81,17.2,45.9,69.3,9.3
82,131.7,18.4,34.6,12.9
83,206.8,5.2,19.4,12.2
84,163.3,31.6,52.9,16.9
85,43.1,26.7,35.1,10.1
86,5.4,29.9,9.4,5.3
87,276.9,48.9,41.8,27
88,293.6,27.7,1.8,20.7
89,69.2,20.5,18.3,11.3
90,18.7,12.1,23.4,6.7
91,109.8,47.8,51.4,16.7
92,255.4,26.9,5.5,19.8
93,94.2,4.9,8.1,9.7
94,134.3,4.9,9.3,11.2
95,95.7,1.4,7.4,9.5
96,67.8,36.6,114,12.5
97,182.6,46.2,58.7,21.2
98,66.9,11.7,36.8,9.7
99,228.3,16.9,26.2,15.5
100,139.5,2.1,26.6,10.3
101,4.1,11.6,5.7,3.2
102,149.7,35.6,6,17.3
103,18.8,21.7,50.4,7
104,11.7,36.9,45.2,7.3
105,289.7,42.3,51.2,25.4
106,281.4,39.6,55.8,24.4
107,230.1,37.8,69.2,22.1
108,234.5,3.4,84.8,11.9
109,184.9,21,22,15.5
110,163.5,36.8,7.4,18
111,237.4,27.5,11,18.9
