,TV,radio,newspaper,sales
1,206.8,5.2,19.4,12.2
2,206.9,8.4,26.4,12.9
3,172.5,18.1,30.7,14.4
4,66.9,11.7,36.8,9.7
5,243.2,49,44.3,25.4
6,175.7,15.4,2.4,14.1
7,149.7,35.6,6,17.3
8,171.3,39.7,37.7,19
9,8.4,27.2,2.1,5.7
10,5.4,29.9,9.4,5.3
11,286,13.9,3.7,15.9
12,290.7,4.1,8.5,12.8
13,56.2,5.7,29.7,8.7
14,87.2,11.8,25.9,10.6
15,210.8,49.6,37.7,23.8
16,170.2,7.8,35.2,11.7
17,216.8,43.9,27.2,22.3
18,218.5,5.4,27.4,12.2
19,25.6,39,9.3,9.5
20,136.2,19.2,16.6,13.2
21,139.3,14.5,10.2,13.4
22,97.2,1.5,30,9.6
23,69,9.3,0.9,9.3
24,220.5,33.2,37.9,20.1
25,95.7,1.4,7.4,9.5
26,134.3,4.9,9.3,11.2
27,23.8,35.1,65.9,9.2
28,19.4,16,22.3,6.6
29,284.3,10.6,6.4,15
30,62.3,12.6,18.3,9.7
31,17.2,4.1,31.6,5.9
32,156.6,2.6,8.3,10.5
33,175.1,22.5,31.5,14.9
34,38,40.3,11.9,10.9
35,225.8,8.2,56.5,13.4
36,276.9,48.9,41.8,27
37,240.1,16.7,22.9,15.9
38,197.6,3.5,5.9,11.7
39,73.4,17,12.9,10.9
40,137.9,46.4,59,19.2
41,234.5,3.4,84.8,11.9
42,94.2,4.9,8.1,9.7
43,4.1,11.6,5.7,3.2
44,280.7,13.9,37,16.1
45,240.1,7.3,8.7,13.2
46,131.7,18.4,34.6,12.9
47,67.8,36.6,114,12.5
48,7.8,38.9,50.6,6.6
49,68.4,44.5,35.6,13.6
50,18.7,12.1,23.4,6.7
51,109.8,47.8,51.4,16.7
52,215.4,23.6,57.6,17.1
53,121,8.4,48.7,11.6
54,11.7,36.9,45.2,7.3
55,36.9,38.6,65.6,10.8
56,76.3,27.5,16,12
57,262.9,3.5,19.5,12
58,177,9.3,6.4,12.8
59,195.4,47.7,52.9,22.4
60,142.9,29.3,12.6,15
61,17.2,45.9,69.3,9.3
62,140.3,1.9,9,10.3
63,222.4,4.3,49.8,11.7
64,265.6,20,0.3,17.4
65,57.5,32.8,23.5,11.8
66,266.9,43.8,5,25.4
