,TV,radio,newspaper,sales
1,276.9,48.9,41.8,27
2,293.6,27.7,1.8,20.7
3,85.7,35.8,49.3,13.3
4,5.4,29.9,9.4,5.3
5,166.8,42,3.6,19.6
6,59.6,12,43.1,9.7
7,76.4,26.7,22.3,11.8
8,57.5,32.8,23.5,11.8
9,120.2,19.6,11.6,13.2
10,62.3,12.6,18.3,9.7
11,90.4,0.3,23.2,8.7
12,239.8,4.1,36.9,12.3
13,195.4,47.7,52.9,22.4
14,261.3,42.7,54.7,24.2
15,69,9.3,0.9,9.3
16,206.9,8.4,26.4,12.9
17,80.2,0,9.2,8.8
18,218.5,5.4,27.4,12.2
19,283.6,42,66.2,25.5
20,239.9,41.5,18.5,23.2
21,287.6,43,71.8,26.2
22,28.6,1.5,33,7.3
23,248.4,30.2,20.3,20.2
24,17.2,4.1,31.6,5.9
25,199.8,3.1,34.6,11.4
26,248.8,27.1,22.9,18.9
27,102.7,29.6,8.4,14
28,139.3,14.5,10.2,13.4
29,25.1,25.7,43.3,8.5
30,112.9,17.4,38.6,11.9
31,216.8,43.9,27.2,22.3
32,209.6,20.6,10.7,15.9
33,109.8,47.8,51.4,16.7
34,141.3,26.8,46.2,15.5
35,120.5,28.5,14.2,14.2
36,36.9,38.6,65.6,10.8
37,273.7,28.9,59.7,20.8
38,280.7,13.9,37,16.1
39,276.7,2.3,23.7,11.8
40,38.2,3.7,13.8,7.6
41,187.8,21.1,9.5,15.6
42,216.4,41.7,39.6,22.6
43,210.8,49.6,37.7,23.8
44,26.8,33,19.3,8.8
45,193.2,18.4,65.7,15.2
46,75.3,20.3,32.5,11.3
47,16.9,43.7,89.4,8.7
48,218.4,27.7,53.4,18
49,39.5,41.1,5.8,10.8
50,253.8,21.3,30,17.6
51,229.5,32.3,74.2,19.7
52,164.5,20.9,47.4,14.5
53,217.7,33.5,59,19.4
54,206.8,5.2,19.4,12.2
55,289.7,42.3,51.2,25.4
56,117.2,14.7,5.4,11.9
57,97.5,7.6,7.2,9.7
58,129.4,5.7,31.3,11
59,177,33.4,38.7,17.1
60,281.4,39.6,55.8,24.4
61,199.1,30.6,38.7,18.3
62,109.8,14.3,31.7,12.4
63,25.6,39,9.3,9.5
64,4.1,11.6,5.7,3.2
65,125.7,36.9,79.2,15.9
66,172.5,18.1,30.7,14.4
67,97.2,1.5,30,9.6
68,175.1,22.5,31.5,14.9
69,187.9,17.2,17.9,14.7
70,131.7,18.4,34.6,12.9
71,121,8.4,48.7,11.6
72,220.5,33.2,37.9,20.1
73,147.3,23.9,19.1,14.6
74,262.7,28.8,15.9,20.2
75,241.7,38,23.2,21.8
76,191.1,28.7,18.2,17.3
77,163.5,36.8,7.4,18
78,75.5,10.8,6,9.9
79,250.9,36.5,72.3,22.2
80,75.1,35,52.7,12.6
81,188.4,18.1,25.6,14.9
82,225.8,8.2,56.5,13.4
83,193.7,35.4,75.6,19.2
84,66.1,5.8,24.2,8.6
85,280.2,10.1,21.4,14.8
86,149.8,1.3,24.3,10.1
87,19.4,16,22.3,6.6
88,198.9,49.4,60,23.7
89,13.2,15.9,49.6,5.6
90,17.2,45.9,69.3,9.3
91,213.5,43,33.8,21.7
92,78.2,46.8,34.5,14.6
93,131.1,42.8,28.9,18
94,163.3,31.6,52.9,16.9
95,8.6,2.1,1,4.8
96,265.2,2.9,43,12.7
97,23.8,35.1,65.9,9.2
98,18.7,12.1,23.4,6.7
99,197.6,3.5,5.9,11.7
100,110.7,40.6,63.2,16
101,234.5,3.4,84.8,11.9
102,104.6,5.7,34.4,10.4
103,199.8,2.6,21.2,10.6
104,170.2,7.8,35.2,11.7
105,184.9,21,22,15.5
106,18.8,21.7,50.4,7
107,228,37.7,32,21.5
108,43.1,26.7,35.1,10.1
109,7.3,28.1,41.4,5.5
110,87.2,11.8,25.9,10.6
111,237.4,5.1,23.5,12.5
112,8.4,27.2,2.1,5.7
113,286,13.9,3.7,15.9
114,19.6,20.1,17,7.6
115,123.1,34.6,12.4,15.2
116,266.9,43.8,5,25.4
117,53.5,2,21.4,8.1
118,67.8,36.6,114,12.5
119,265.6,20,0.3,17.4
120,165.6,10,17.6,12.6
121,134.3,4.9,9.3,11.2
122,76.3,27.5,16,12
123,204.1,32.9,46,19
124,136.2,19.2,16.6,13.2
125,227.2,15.8,49.9,14.8
126,171.3,39.7,37.7,19
127,151.5,41.3,58.5,18.5
128,228.3,16.9,26.2,15.5
129,239.3,15.5,27.3,15.7
130,230.1,37.8,69.2,22.1
131,89.7,9.9,35.7,10.6
132,255.4,26.9,5.5,19.8
133,107.4,14,10.9,11.5
134,96.2,14.8,38.9,11.4
135,93.9,43.5,50.5,15.3
136,50,11.6,18.4,8.4
137,177,9.3,6.4,12.8
138,94.2,4.9,8.1,9.7
139,224,2.4,15.6,11.6
140,284.3,10.6,6.4,15
141,44.5,39.3,45.1,10.4
