,TV,radio,newspaper,sales
1,213.4,24.6,13.1,17
2,44.7,25.8,20.6,10.1
3,102.7,29.6,8.4,14
4,120.2,19.6,11.6,13.2
5,199.8,3.1,34.6,11.4
6,125.7,36.9,79.2,15.9
7,139.5,2.1,26.6,10.3
8,43,25.9,20.5,9.6
9,239.9,41.5,18.5,23.2
10,296.4,36.3,100.9,23.8
11,16.9,43.7,89.4,8.7
12,70.6,16,40.8,10.5
13,175.1,22.5,31.5,14.9
14,180.8,10.8,58.4,12.9
15,95.7,1.4,7.4,9.5
16,149.7,35.6,6,17.3
17,59.6,12,43.1,9.7
18,265.2,2.9,43,12.7
19,216.8,43.9,27.2,22.3
20,141.3,26.8,46.2,15.5
21,266.9,43.8,5,25.4
22,166.8,42,3.6,19.6
23,117.2,14.7,5.4,11.9
24,17.2,45.9,69.3,9.3
25,265.6,20,0.3,17.4
26,18.7,12.1,23.4,6.7
27,156.6,2.6,8.3,10.5
28,253.8,21.3,30,17.6
29,89.7,9.9,35.7,10.6
30,175.7,15.4,2.4,14.1
31,229.5,32.3,74.2,19.7
32,25.6,39,9.3,9.5
33,140.3,1.9,9,10.3
34,109.8,47.8,51.4,16.7
35,276.7,2.3,23.7,11.8
36,149.8,1.3,24.3,10.1
37,25,11,29.7,7.2
38,134.3,4.9,9.3,11.2
39,25.1,25.7,43.3,8.5
40,50,11.6,18.4,8.4
41,224,2.4,15.6,11.6
42,69.2,20.5,18.3,11.3
43,107.4,14,10.9,11.5
44,17.2,4.1,31.6,5.9
45,80.2,0,9.2,8.8
46,76.4,0.8,14.8,9.4
47,261.3,42.7,54.7,24.2
48,110.7,40.6,63.2,16
49,241.7,38,23.2,21.8
50,112.9,17.4,38.6,11.9
51,187.8,21.1,9.5,15.6
52,283.6,42,66.2,25.5
53,197.6,23.3,14.2,16.6
54,243.2,49,44.3,25.4
55,116,7.7,23.1,11
56,4.1,11.6,5.7,3.2
57,85.7,35.8,49.3,13.3
58,232.1,8.6,8.7,13.4
59,289.7,42.3,51.2,25.4
60,165.6,10,17.6,12.6
61,262.7,28.8,15.9,20.2
62,220.5,33.2,37.9,20.1
63,163.3,31.6,52.9,16.9
64,240.1,16.7,22.9,15.9
65,23.8,35.1,65.9,9.2
66,66.9,11.7,36.8,9.7
67,220.3,49,3.2,24.7
68,73.4,17,12.9,10.9
69,170.2,7.8,35.2,11.7
70,67.8,36.6,114,12.5
71,273.7,28.9,59.7,20.8
72,281.4,39.6,55.8,24.4
73,13.1,0.4,25.6,5.3
74,76.4,26.7,22.3,11.8
75,234.5,3.4,84.8,11.9
76,28.6,1.5,33,7.3
77,93.9,43.5,50.5,15.3
78,171.3,39.7,37.7,19
79,248.8,27.1,22.9,18.9
80,218.5,5.4,27.4,12.2
81,104.6,5.7,34.4,10.4
82,280.7,13.9,37,16.1
83,177,9.3,6.4,12.8
84,206.8,5.2,19.4,12.2
85,75.3,20.3,32.5,11.3
86,0.7,39.6,8.7,1.6
87,135.2,41.7,45.9,17.2
88,214.7,24,4,17.4
89,97.5,7.6,7.2,9.7
90,129.4,5.7,31.3,11
91,199.8,2.6,21.2,10.6
92,44.5,39.3,45.1,10.4
93,219.8,33.5,45.1,19.6
94,193.7,35.4,75.6,19.2
95,48.3,47,8.5,11.6
96,195.4,47.7,52.9,22.4
97,11.7,36.9,45.2,7.3
98,184.9,43.9,1.7,20.7
99,123.1,34.6,12.4,15.2
100,217.7,33.5,59,19.4
101,184.9,21,22,15.5
102,197.6,3.5,5.9,11.7
103,139.3,14.5,10.2,13.4
104,210.8,49.6,37.7,23.8
105,284.3,10.6,6.4,15
106,250.9,36.5,72.3,22.2
107,76.3,27.5,16,12
108,36.9,38.6,65.6,10.8
109,280.2,10.1,21.4,14.8
110,75.5,10.8,6,9.9
111,215.4,23.6,57.6,17.1
112,230.1,37.8,69.2,22.1
