,default,student,balance,income
1,No,No,1575.71270470809,45957.2447176986
2,No,No,642.234627903716,35800.0838167837
3,No,No,638.476386396818,53034.552332322
4,Yes,No,2008.45859591035,35145.0476213865
5,No,No,601.689646743678,31522.7848464765
6,No,Yes,1090.89188238703,20421.9577177004
7,No,No,1651.32255274413,34024.6636828514
8,No,Yes,583.248474622869,17353.8385772636
9,Yes,Yes,1504.29017813787,13965.1860445333
10,No,No,1866.30465255816,58710.8876485058
11,No,No,888.613272550212,28899.7917513637
12,No,No,557.80877712832,62352.8460745643
13,No,No,1664.09565193609,54087.6410964728
14,No,No,607.094632221471,27145.6375410312
15,No,Yes,1636.51972469254,17533.3422009671
16,No,Yes,699.696422430527,17318.8818697219
17,No,Yes,878.149005483414,18414.5700678425
18,No,No,115.840084017037,47519.8497166199
19,No,No,319.60236937232,53135.3670426105
20,No,No,676.684640060302,24989.8336879992
21,No,No,1074.99126730894,27834.7900360085
22,No,No,1255.54337529249,45142.27359399
23,No,Yes,1133.23296556513,16749.4614462397
24,No,No,964.820252985381,34390.7460350566
25,No,No,491.449369823872,51484.245489143
26,No,Yes,565.988728443035,18645.9366490187
27,No,No,324.504531784576,51139.8768545561
28,No,Yes,1134.69657246644,20068.0185456427
29,No,No,874.031434043843,39664.9361264591
30,No,No,1197.57977470106,18449.020776497
31,No,No,809.478458031615,51608.5424596493
32,No,No,172.975785497621,47060.6314248485
33,No,No,1190.13932322518,27734.7389829589
34,No,No,94.1207207052075,36303.9415847774
35,No,No,976.428533159154,31897.566033739
36,No,No,1218.86498579543,45593.8602149062
37,No,No,0,38686.6752901228
38,No,No,0,58825.6151260292
39,No,Yes,531.976408238036,21357.6321613268
40,No,No,0,36379.5188526604
41,No,No,797.734016170854,31616.8002356646
42,No,No,338.735981024486,44923.0455293594
43,No,No,946.398166907214,30770.0667301801
44,No,No,652.817454280779,41161.8573542243
45,No,No,110.854365105375,27370.30436569
46,No,No,47.4234792771126,29567.857431916
47,No,Yes,894.657334725516,23656.8418118625
48,No,Yes,1094.74057904676,19638.265428074
49,No,No,531.744210691984,38122.1923999718
50,No,No,517.45962093638,39543.5871031994
51,No,No,399.597296046437,42578.0459414764
52,No,No,130.996930290863,54366.8027607212
53,No,No,793.970969480621,41931.585345531
54,No,No,566.367097183945,39033.3249938756
55,No,Yes,1224.52065302574,22327.4078004255
56,No,No,1201.36026411294,51740.8900511035
57,No,No,997.80984304604,50287.8737409593
58,No,Yes,574.818229191728,16479.5388337621
59,No,No,690.640342447775,26989.3943527933
60,No,No,1149.72013584049,57890.5159582794
61,No,Yes,601.891220583823,16948.6132290621
62,No,Yes,935.757199246756,5386.17648259929
63,No,Yes,1282.76284131274,22360.1963285237
64,No,Yes,782.445165134074,23447.2133813526
65,No,Yes,655.510126293906,15771.4924298364
