,TV,radio,newspaper,sales
1,261.3,42.7,54.7,24.2
2,230.1,37.8,69.2,22.1
3,13.2,15.9,49.6,5.6
4,149.8,1.3,24.3,10.1
5,140.3,1.9,9,10.3
6,76.4,0.8,14.8,9.4
7,218.4,27.7,53.4,18
8,107.4,14,10.9,11.5
9,210.7,29.5,9.3,18.4
10,229.5,32.3,74.2,19.7
11,149.7,35.6,6,17.3
12,219.8,33.5,45.1,19.6
13,166.8,42,3.6,19.6
14,241.7,38,23.2,21.8
15,11.7,36.9,45.2,7.3
16,48.3,47,8.5,11.6
17,23.8,35.1,65.9,9.2
18,273.7,28.9,59.7,20.8
19,121,8.4,48.7,11.6
20,141.3,26.8,46.2,15.5
21,199.8,2.6,21.2,10.6
22,75.1,35,52.7,12.6
23,131.1,42.8,28.9,18
24,240.1,16.7,22.9,15.9
25,109.8,14.3,31.7,12.4
26,27.5,1.6,20.7,6.9
27,50,11.6,18.4,8.4
28,67.8,36.6,114,12.5
29,284.3,10.6,6.4,15
30,280.2,10.1,21.4,14.8
31,213.5,43,33.8,21.7
32,220.5,33.2,37.9,20.1
33,57.5,32.8,23.5,11.8
34,234.5,3.4,84.8,11.9
35,276.7,2.3,23.7,11.8
36,175.1,22.5,31.5,14.9
37,85.7,35.8,49.3,13.3
38,255.4,26.9,5.5,19.8
39,290.7,4.1,8.5,12.8
40,117.2,14.7,5.4,11.9
41,195.4,47.7,52.9,22.4
42,25.1,25.7,43.3,8.5
43,8.7,48.9,75,7.2
44,232.1,8.6,8.7,13.4
45,253.8,21.3,30,17.6
46,283.6,42,66.2,25.5
47,110.7,40.6,63.2,16
48,193.2,18.4,65.7,15.2
49,97.5,7.6,7.2,9.7
50,168.4,7.1,12.8,11.7
51,78.2,46.8,34.5,14.6
52,16.9,43.7,89.4,8.7
53,17.9,37.6,21.6,8
54,204.1,32.9,46,19
55,88.3,25.5,73.4,12.9
56,197.6,3.5,5.9,11.7
57,139.2,14.3,25.6,12.2
58,38,40.3,11.9,10.9
59,139.5,2.1,26.6,10.3
60,292.9,28.3,43.2,21.4
61,134.3,4.9,9.3,11.2
62,220.3,49,3.2,24.7
63,262.9,3.5,19.5,12
64,238.2,34.3,5.3,20.7
65,187.9,17.2,17.9,14.7
66,75.3,20.3,32.5,11.3
67,217.7,33.5,59,19.4
68,187.8,21.1,9.5,15.6
69,265.2,2.9,43,12.7
70,239.8,4.1,36.9,12.3
71,131.7,18.4,34.6,12.9
72,123.1,34.6,12.4,15.2
73,182.6,46.2,58.7,21.2
74,44.5,39.3,45.1,10.4
75,216.8,43.9,27.2,22.3
76,184.9,43.9,1.7,20.7
77,17.2,45.9,69.3,9.3
78,213.4,24.6,13.1,17
79,193.7,35.4,75.6,19.2
80,225.8,8.2,56.5,13.4
81,69.2,20.5,18.3,11.3
82,74.7,49.4,45.7,14.7
83,13.1,0.4,25.6,5.3
84,191.1,28.7,18.2,17.3
85,177,9.3,6.4,12.8
86,248.8,27.1,22.9,18.9
87,73.4,17,12.9,10.9
88,163.5,36.8,7.4,18
89,139.3,14.5,10.2,13.4
90,276.9,48.9,41.8,27
91,102.7,29.6,8.4,14
92,280.7,13.9,37,16.1
